hour_of_year,day_of_week,day_type,season,hour_of_day,temperature,precipitation,irradiance,electricity_demand
1.0,Saturday,Weekend,Summer,Evening,-5.192269660810805,0.7725404119037445,266.23571256404017,
2.0,Friday,Weekday,Fall,Afternoon,19.56578361021527,0.14583113879716403,159.65717343301378,
3.0,Saturday,Weekday,Winter,Midday,32.83065058598616,0.20483233856076466,522.2533633599437,
4.0,Sunday,Weekend,Winter,Afternoon,15.802585853061856,0.012459700119294426,462.4442988137276,
5.0,Friday,Weekday,Winter,Midday,21.694197855167936,0.16062092821497898,363.5483312571172,
6.0,Friday,Weekday,Winter,Midday,-15.0,0.8921669822378924,0.0,
7.0,Sunday,Weekend,Spring,Midday,7.950686379589441,2.0902639061082064,87.31437982060453,
8.0,Saturday,Weekday,Fall,Midday,17.27629194290918,0.05382609201284405,254.45046410998134,
9.0,Thursday,Weekday,Summer,Afternoon,-0.6175185563164263,4.8814352283906715,231.4559473567562,
10.0,Saturday,Weekend,Summer,Midday,2.480505532061544,0.01577506334056289,0.0,
11.0,Thursday,Weekday,Fall,Night,12.31626910014701,0.5732227604535222,197.37267255132787,
12.0,Thursday,Weekend,Fall,Afternoon,16.06544777534367,0.20926792154121965,160.87750038383638,
13.0,Friday,Weekday,Spring,Midday,3.8300614867322853,0.024257856255478383,189.9699194899288,
14.0,Monday,Weekend,Fall,Afternoon,15.991787906929195,0.07885353698041614,304.8459286192671,
15.0,Monday,Weekend,Winter,Morning,25.909156621179644,0.21158674826188173,194.46468064816182,
16.0,Wednesday,Weekday,Spring,Afternoon,11.216213522883404,1.7668924559688541,222.06489098448932,
17.0,Tuesday,Weekday,Fall,Morning,24.441664362843284,0.24291127944763802,306.4962303582549,
18.0,Saturday,Weekend,Fall,Afternoon,23.656822910701553,2.1674553163708588e-05,186.72315389925922,
19.0,Tuesday,Weekend,Summer,Morning,13.579963860944154,0.06053145774477908,103.9276975925303,
20.0,Monday,Weekday,Spring,Morning,15.190591694245585,1.829187881281686,298.61193097509937,
21.0,Sunday,Weekday,Fall,Afternoon,12.374230685186348,0.03886008577690481,221.48441441533618,
22.0,Friday,Weekend,Spring,Morning,-3.8344218746789025,0.7286134326825882,204.59471126727337,
23.0,Friday,Weekend,Winter,Night,22.816398412713912,0.07313038905387087,529.7109007291583,
24.0,Monday,Weekday,Spring,Afternoon,18.92934836843473,0.16262093240355602,154.5233265760679,
25.0,Wednesday,Weekday,Winter,Midday,30.575482082820532,0.39446539567728467,327.5560769218521,25554.159363770796
26.0,Friday,Weekday,Winter,Afternoon,28.835111453871505,0.20087565943942376,177.1564360023101,22906.226706065067
27.0,Tuesday,Weekend,Summer,Morning,6.370205732868477,0.343106254611828,96.23249442251941,7173.954561614529
28.0,Saturday,Weekday,Summer,Evening,2.5762827599440676,0.0696749376842773,0.0,5652.045016211431
29.0,Wednesday,Weekend,Winter,Evening,19.609540780410093,0.15535384253392948,311.5927869585137,12317.20140960996
30.0,Thursday,Weekday,Winter,Evening,22.422903409696914,0.025369206147150547,276.4640416522229,13800.835402259525
31.0,Wednesday,Weekday,Summer,Morning,16.691631383993585,0.513294259747185,0.0,9735.214508578756
32.0,Sunday,Weekday,Winter,Night,14.754670815747147,0.2617808286559647,251.88931877317805,9619.195023726837
33.0,Friday,Weekday,Spring,Night,6.093021550446952,1.5213667512598588,134.42236248062585,6289.7783676277795
34.0,Tuesday,Weekday,Winter,Morning,14.864728570627406,0.36918435871005195,251.3389250050907,10619.393689287193
35.0,Saturday,Weekday,Winter,Night,10.936561580111553,0.6341762844697839,236.7185272844747,8948.97279164456
36.0,Tuesday,Weekday,Fall,Night,-0.5875483751892325,0.22803996787103797,0.0,5872.027007044236
37.0,Friday,Weekday,Summer,Midday,40.0,0.0015171832214689873,512.377972128311,40768.89483354231
38.0,Monday,Weekend,Spring,Midday,8.17166038842824,1.0573188547822934,282.8066137224914,8899.246145908022
39.0,Monday,Weekend,Fall,Morning,-5.39767828169412,0.937815830690464,0.0,5702.201861205286
40.0,Friday,Weekend,Winter,Afternoon,7.088677870518473,0.6396898352726018,70.09841092582556,7363.216554216221
41.0,Saturday,Weekday,Winter,Night,2.169624077257204,0.8595157405957337,378.93910393401256,6612.341542301845
42.0,Friday,Weekday,Winter,Night,5.746482836131753,1.824416274897251,312.0162782440286,6733.538772787335
43.0,Friday,Weekday,Summer,Evening,9.555413069952905,0.4003720407866722,368.0897694889427,7802.535642051119
44.0,Thursday,Weekend,Winter,Evening,3.2446656982979523,0.5327520706355386,154.3240329615668,5435.028437681809
45.0,Monday,Weekday,Spring,Afternoon,7.949570580250239,1.9370857498352834,224.57257903605168,6437.17056143947
46.0,Wednesday,Weekday,Summer,Morning,20.42148906789789,0.19973115441227107,129.6780544310985,12408.674924927442
47.0,Thursday,Weekday,Winter,Night,14.649530730907827,0.08328977144043798,181.16261754225175,9878.950741692379
48.0,Sunday,Weekday,Spring,Morning,8.738448929668525,1.1703373009373526,273.7182394941348,7945.176903786123
49.0,Saturday,Weekday,Winter,Midday,23.7101000416028,0.15879681486308728,386.1166429667744,18626.114824393528
50.0,Monday,Weekend,Winter,Night,19.583685241459392,0.2626089523274417,170.25493978856767,14411.268802372071
51.0,Saturday,Weekday,Winter,Morning,-15.0,0.6714874394197479,0.0,7943.040794437769
52.0,Thursday,Weekday,Spring,Night,-6.218241130268133,0.6650591496487895,0.0,5290.870056945383
53.0,Wednesday,Weekday,Spring,Evening,19.07133771565192,1.539930685744829,543.6238125901726,12621.59934993427
54.0,Saturday,Weekend,Winter,Night,13.916501173185852,0.34064498353707934,191.66599388560346,8793.531081471041
55.0,Sunday,Weekday,Fall,Midday,16.781407291217352,0.06486141912523191,37.63502108544466,9804.99245475954
56.0,Sunday,Weekday,Spring,Night,18.647395998910238,1.2443012580721797,149.50877324988957,11325.231224432408
57.0,Wednesday,Weekday,Spring,Night,22.327807979936857,0.10791646743044636,270.55073579109245,14580.16902500747
58.0,Thursday,Weekday,Summer,Night,20.36993203508698,0.051168925017804456,269.48887087315165,14108.547878283
59.0,Saturday,Weekday,Winter,Midday,31.532242647348546,0.6807612549694265,398.70546429660294,25611.21274976851
60.0,Sunday,Weekday,Spring,Night,8.218194572145016,0.0320297279106031,226.5781667865021,8582.932988389732
61.0,Thursday,Weekday,Winter,Morning,7.810210828768499,1.8413904638171177,238.4677572762793,8880.674301624387
62.0,Friday,Weekend,Summer,Midday,11.462063004320486,0.3480301515078319,2.423343019519848,9639.83287839583
63.0,Tuesday,Weekday,Summer,Midday,32.67114596863223,0.595983717334268,400.13091609389426,28293.468027868257
64.0,Tuesday,Weekday,Summer,Midday,11.64195505548964,0.19935921224688868,210.35911315493664,9513.943735224277
65.0,Saturday,Weekend,Spring,Midday,16.43923322614453,1.2177311491283014,49.818273889534055,11055.004858562994
66.0,Sunday,Weekday,Winter,Night,17.2716463034453,2.0775291945909795,268.60530002253483,11406.314976351405
67.0,Friday,Weekday,Spring,Morning,12.375474483297804,0.13836948012685552,248.9090071840098,8623.938144611411
68.0,Sunday,Weekday,Summer,Midday,29.27410654757118,0.004830056224095602,283.33924291391486,19316.150107813875
69.0,Saturday,Weekday,Summer,Midday,0.7423963220565728,0.4495218994153001,0.0,4627.293206403014
70.0,Wednesday,Weekday,Fall,Morning,6.874624016012014,3.1124619843373753,419.8630996347838,6560.348167593289
71.0,Saturday,Weekday,Fall,Afternoon,12.690958052642282,0.9418869463895028,237.49571038901374,8852.913325047257
72.0,Sunday,Weekday,Spring,Midday,24.036674119478327,1.1124480656687656,373.5042331997699,17314.074834911495
73.0,Friday,Weekday,Summer,Midday,23.46461484037924,1.1346193704323315,352.6815039129611,18515.72642435403
74.0,Sunday,Weekend,Summer,Morning,23.348664562441982,0.12090336769631205,167.63853886678328,17477.704292250437
75.0,Monday,Weekend,Winter,Night,21.278105434048072,0.17719587039518703,233.6656639866036,15120.309373166241
76.0,Saturday,Weekday,Winter,Midday,2.00635671708263,1.4299878477051338,0.0,5327.238799782469
77.0,Friday,Weekday,Spring,Evening,10.119114553374839,1.4203421133465022,215.87553379867236,7508.189273624919
78.0,Thursday,Weekday,Spring,Midday,-2.9394714370705977,0.08450798532498455,0.0,4671.793973574514
79.0,Friday,Weekend,Winter,Night,10.429427528802872,0.6626106587998624,141.53391083388192,7004.9374094290315
